Zeitstempel;Helligkeit (Luminanz)
13:18:53;19,74
13:18:54;10,34
13:18:55;119,09
13:18:56;117,95
13:18:57;117,83
13:18:58;117,78
13:18:59;117,75
13:19:00;10,37
13:19:01;10,5
13:19:02;10,48
13:19:03;1,23
13:19:04;1,19
13:19:05;1,24
13:19:06;1,31
13:19:07;1,27
13:19:08;1,23
13:19:09;1,24
13:19:10;1,22
13:19:11;0,69
13:19:12;0,68
13:19:13;1,21
13:19:14;1,26
13:19:15;5,84
13:19:16;78,32
13:19:17;78,33
13:19:18;78,39
13:19:19;78,37
13:19:20;78,4
13:19:21;78,08
13:19:22;6,64
13:19:23;4,61
13:19:24;3,01
13:19:25;2,79
13:19:26;2,72
13:19:27;2,67
13:19:28;2,6
13:19:29;3,07
13:19:30;75,45
13:19:31;77,71
13:19:32;78,82
13:19:33;79,16
13:19:34;79,03
13:19:35;79,04
